id,model,quadrant,en_correct,ar_correct,ground_truth,prediction_english,prediction_arabic,input_english,input_arabic,Level
1703,Llama-3.1-8B-Instruct,both_correct,1,1,A,A,A,"Cell differentiation is defined as

A) The mechanism by which a cell changes its state from less specialized to more specialized.
B) The formation of stem cells.
C) It leads to programmed cell death.
D) All of the above are incorrect.","تتميز متلازمة كلاينفلتر بما يلي :

A) نقص الخصوبة أو العقم.
B) قصر القامة.
C) تخلف عقلي.
D) نسبة انتشارها 1 من كل 1000 والدة جنين حي.",
1162,Llama-3.1-8B-Instruct,both_correct,1,1,B,B,B,"The upper urinary tract consists of three layers. Choose the incorrect answer

A) The outermost layer
B) Followed by the subserosal layer
C) Then the muscular layer
D) Then the mucous layer","الشرايين التي تسير بين الفصوص بإتجاه القشرة على كل جانب من جانبي الهرم الكلوي :

A) الشرايين الفصية
B) الشرايين بين الفصوص
C) الشرايين المقوسة
D) الشرايين بين الفصيصات",
3033,Llama-3.1-8B-Instruct,both_correct,1,1,D,D,D,"The bond energy is..........(1-SeV)

A) Ionic
B) Hydrogen
C) Covalent
D) A, C","كل ما يأتي صحيح عن الصباغ البني ما عدا :

A) واقيا للقرنية
B) واقيا للبشرة
C) واقيا ممتازا من الضوء
D) يمتص UVA و UVB ويبدد الطاقة على شكل حرارة",
2795,Llama-3.1-8B-Instruct,both_correct,1,1,D,D,D,"The quantum model of the hydrogen atom differs from Bohr's model in that it

A) is more precise in determining the orbital radius.
B) treats the electron as a stable wave.
C) treats the electron as a useful particle.
D) determines the position with varying probability ratios.","برامتر واحد يسمى مسؤول عن أنوع آليات تأثر * مع المادة الحية هو:

A) كثافة العلاقة
B) كثافة الاستطاعة
C) مدة التعرض
D) وأبعاد البقعة البؤرية",
2654,Llama-3.1-8B-Instruct,both_correct,1,1,D,D,D,"Excessive exposure to UVB radiation causes

A) Sunburn
B) Some forms of skin cancer
C) A, B
D) All of the above","الظاهرة التي تحد من المقدر الفاصلة للمجهر الضوئي التقليدي هي :

A) التصادم
B) التداخل
C) الانعراج
D) كل ما سبق صحيح",
2007,Llama-3.1-8B-Instruct,both_correct,1,1,C,C,C,"Spindle checkpoint

A) Checkpoint G1
B) Checkpoint G2
C) Checkpoint S
D) Checkpoint M","ينذر حدوث طور الأرومات الحادة عند مرضى CML بسبب كل ما يلي ماعدا :

A) وجود صبغي فيلادلفيا إضافي
B) تثلث الصبغي 8
C) فقدان الصبغي Y
D) تغيرات صبغية ثانوية للصبغي 17P",
1630,Llama-3.1-8B-Instruct,both_correct,1,1,B,B,B,"Some causes of decreased resistance to bacteria in diabetic patients include

A) Increased blood cell growth in tissues
B) Decreased protein synthesis, especially globulins
C) Decreased concentration of free glucose in the bloodstream
D) All of the above are incorrect","ما هو الواسم الورمي الذي تطلب معايرته دوريا لمراقبة مريض خضع لعملية استئصال البروستات الجذري:

A) .CA 19-9
B) PSA .
C) PSMA .
D) CA 15-3 .",
635,Llama-3.1-8B-Instruct,both_correct,1,1,B,B,B,"Long muscles that connect the vertebrae

A) Anterior abdominal wall muscles
B) Spinal muscles
C) Superficial pectoral muscles
D) Deep pectoral muscles","في حالة الإصابة بنقص الأكسجة فإن اول ما يتأثر من الخلايا الكبدية :

A) الخلايا الكبدية المحيطية
B) الخلايا الكبدية المركزية
C) كلا˝ من a و .b
D) لا تتأثر خلايا كبدية.",
1547,Llama-3.1-8B-Instruct,both_correct,1,1,D,D,D,"Causes of posthepatic obstructive jaundice include

A) Certain medications
B) Inappropriate blood transfusion
C) Intrahepatic biliary obstruction
D) All of the above","كل ما يلي حول استقصاءات التهاب الكبد بالنمط C صحيح ما عدا:

A) إيجابية HCV A تدل على الإصابة الحديثة.
B) إيجابية HCV A تدل أن الفيروس في طور التناسخ replication.
C) في ٥٠% من حالات التهاب الكبد C قد يوجد حامل مزمن.
D) أضداد التهاب الكبد C قد لا تظهر إلا بعد اشهر من الإصابة .",
4299,Llama-3.1-8B-Instruct,both_correct,1,1,B,B,B,"Misconceptions about the effects of thyroid hormones

A) They increase protein synthesis
B) They increase blood cholesterol levels
C) They increase metabolic rate and body temperature
D) They stimulate brain and nervous system development during fetal life","عندما يتكون الليف نفوذ لشوارد البوتاسيوم فقط فإن الكمون سيكون تقريباً:

A) سالب 4 ميلي فولط
B) سالب 86 ميلي فولط
C) سالب 90 ميلي فولط
D) سالب 94 ميلي فولط",
