id,model,quadrant,en_correct,ar_correct,ground_truth,prediction_english,prediction_arabic,input_english,input_arabic,Level
1879,Fanar-1-9B,both_correct,1,1,B,B,B,"The two nuclear membranes fuse at

A) the nuclear lumen.
B) the nuclear pore equipment.
C) the nuclear lamina.
D) the nuclear basket.","السوائل المكروية هي من :

A) التكرارات على نطاق الجينوم .
B) التكرارات الترادفية .
C) التسلسلات المباعدة .
D) كل ماسبق خطأ .",
1290,Fanar-1-9B,both_correct,1,1,D,D,D,"Causes of iron deficiency include

A) Increased body requirements for iron
B) Decreased absorption of dietary iron
C) Any cause of acute or chronic blood loss
D) All of the above","كل مما يلي حول وحدات النظام الدولي صحيح ما عدا :

A) تستخدم الوحدة (كانال (لتر) للتعبير عن فعالية الإنزيمات.
B) تستخدم الوحدة (باسكال) للتعبير عن ضغط غازات الدم.
C) تستخدم الوحدة (حريرة) للتعبير عن الطاقة الحرارية.
D) تستخدم الوحدة (مول التر) للتعبير عن تركيز شوارد الهيدروجين.",
3182,Fanar-1-9B,both_correct,1,1,B,B,B,"The radiation used in the treatment of non-surgical skin cancer (SC

A) Infrared
B) Electrons
C) Protons
D) Neutrons
E) Carbon ions","من الأدوية التي تست تستخدم كمعالجة كيميائية مشاركة ومحسنة عاعية في أورام الحنجرة :

A) Doxorubicin
B) Bleomycin
C) Vincristine
D) Cisplatin
E) Gemcitabine",
2933,Fanar-1-9B,both_correct,1,1,D,D,D,"After terahertz imaging

A) Aggressive, painless, and safe
B) Safe, non-aggressive, but painful
C) Unsafe, aggressive, and painful
D) Safe, non-aggressive, and painless","يعتمد فائض الضغط على

A) التوتر السطحي
B) أبعاد الفقاعة
C) اللزوجة
D) A,B",
2826,Fanar-1-9B,both_correct,1,1,B,B,B,"The polarization in which the electric field remains in one plane during propagation or changes direction in the plane perpendicular to the propagation is

A) Partial polarization
B) Linear polarization
C) A, B
D) B or A","يكون تأثر أي نكليون مع آخر يقتصر على النكليونات الواقعة في جواره المباشر بسبب :

A) كبر نصف قطر التأثر الشديد
B) صغر نصف قطر التأثر الشديد
C) صغر البعد بين النكليونات
D) كبر البعد بين النكليونات",
2126,Fanar-1-9B,both_correct,1,1,B,B,B,"Proteins that are insoluble in water and dilute solutions

A) Glucoproteins
B) Fibrous proteins
C) Albumin
D) Protamins","يحوي المدار الخارجي لذرة الكربون على

A) 6 الكترونات
B) 4 الكترونات
C) 2الكترونات
D) 8الكترونات",
1820,Fanar-1-9B,both_correct,1,1,A,A,A,"Proteins that control the cell cycle

A) Kinases
B) Cytokines
C) Condensins
D) a+b","المكونات الرئيسية للديسموزوم:

A) الديسموغليين
B) الديسموكولين
C) الديسمين
D) a+b",
87,Fanar-1-9B,both_correct,1,1,A,A,A,"The olfactory region is located in

A) the roof of the nose
B) the tip of the nose
C) the lateral wall of the nose
D) the medial wall of the nose","تقع المنطقة الشمية في :

A) سقف الأنف
B) مقدمة الأنف
C) الجدار الوحشي للأنف
D) الجدار الأنسى للأنف",
168,Fanar-1-9B,both_correct,1,1,C,C,C,"Hip joint: (Dr. Jamal's model)

A) PIVOT model
B) The capsule covers the entire femoral neck
C) It contains a ligament within the joint
D) Congenital dislocation may be anterior","العصب القحفي الثاني:

A) البصري - حاسي
B) العيني - حاسي
C) البصري - حسي
D) العيني – حسي",
4387,Fanar-1-9B,both_correct,1,1,D,D,D,"The ventricular systole phase

A) The ventricles and atria are relaxed.
B) It lasts approximately 0.15 seconds.
C) The sinoatrial valves are closed.
D) Its contraction ejects two-thirds of the blood present.","تتحكم العوامل التالية بالامتصاص بالأمعاء الدقيقة عدا:

A) الضغط التناضحي للكيموس
B) الـ pH في الوسط المعوي
C) البروستاغلاندينات
D) الأملاح الصفراوية",
1335,Fanar-1-9B,both_correct,1,1,D,D,D,"Some late complications of diabetes include

A) Diabetic neuropathy
B) Retinopathy
C) Diabetic foot
D) All of the above","كل مما يلي حول التهاب الكبد الفيروسي B صحيح ما عدا :

A) ارتفاع AST + ALT يتناسب مع درجة التخرب الخلوي الكبدي.
B) انخفاض زمن البروثرومبين يتناسب مع درجة الأذية الكبدية.
C) ارتفاع (GGT + Alk) يتناسب مع درجة الركود الصفراوي.
D) يرتفع مستوى البيلروبين خليط من المقترن وغير المقترن).",
132,Fanar-1-9B,both_correct,1,1,D,D,D,"In adipose tissue, brown fat –

A) is colored by its high capillary density
B) is found in large areas of the body
C) cannot transform into unilocular adipose tissue
D) the first and third types
E) all of the above are true","في النسج الشحمية، الـ Brown fat –

A) ينجم لونه عن غزارة الشعريات الدموية فيه
B) موجود في أماكن واسعة من الجسم.
C) لا يمكن أن يتحول إلى Unilocular adipose tissue
D) الأول والثالث
E) كل ما سبق صحيح",
