id,model,quadrant,en_correct,ar_correct,ground_truth,prediction_english,prediction_arabic,input_english,input_arabic,Level
3828,Mistral-7B-Instruct-v0.3,both_correct,1,1,A,A,A,"The internal environment is everything except

A) Intracellular fluid
B) Extracellular fluid
C) Blood
D) Aqueous humor","العامل ٣ مع ca يؤدي الى :

A) تلقيم راجع سلبي للثرومبين.
B) تلقيم راجع إيجابي للثرومبين.
C) تنشيط العامل ال ٦.
D) تثبيط سبل التخثر.",
1423,Mistral-7B-Instruct-v0.3,both_correct,1,1,C,C,C,"All of the following statements about niacin deficiency are true except

A) Diarrhea is a symptom.
B) It is seen in populations whose diets are based on corn.
C) It usually does not require treatment.
D) It occurs in people with Hartnup disease.","واحد فقط مما يلي هو بروتين:

A) الأنسولين
B) الميوغلوبين
C) الجلوكاجون
D) الكيروسين",
1106,Mistral-7B-Instruct-v0.3,both_correct,1,1,A,A,A,"Cells that originate in the bone marrow and play a role in skin immune responses

A) Langerhans cells.
B) Merkel cells.
C) Melanocytes.
D) a+b cells.","يروي المساريقي العلوي:

A) الأمعاء الدقيقة
B) المعدة
C) المرئ
D) البريتوان",
4274,Mistral-7B-Instruct-v0.3,both_correct,1,1,B,B,B,"It is considered part of innate immunity as it is found on mucous membranes

A) IgE
B) IgA
C) IgM
D) IgG","الحالة التي يمكن أن تؤدي إلى تركيب الطاقة بواسطة مضخة الصوديوم بوتاسيوم هي:

A) نقص كمية الـ ATP داخل الخلية
B) زيادة مدروج تركيز كل من شوارد الصوديوم و البوتاسيوم عبر الغشاء الخلوي
C) انخفاض تركيز الكاليسيوم داخل الخلية
D) زيادة نفوذية قنوات الشوارد في الغشاء الخلوي",
2103,Mistral-7B-Instruct-v0.3,both_correct,1,1,A,A,A,"In the tryptophan cell, the presence of tryptophan leads to

A) Inhibition of gene transcription
B) Stimulation of gene transcription
C) Constituting a transcription enhancer
D) All false","تحدث التلاسيميا بيتا نتيجة:

A) خلة جسدية سائدة.
B) خلة جسدية متنحية.
C) خلة مكتسبة سائدة.
D) خلة مكتسبة متنحية.",
1985,Mistral-7B-Instruct-v0.3,both_correct,1,1,A,A,A,"Gene expression is an event through which

A) From genotype to phenotype.
B) From phenotype to genotype.
C) From genotype to mRNA.
D) All of the above are incorrect.","تتميز شجرة النسب الحاوية على حالة وراثة متعلقة بالمتقدرات وإلام فقط فيها مصابة:

A) الذكور دون الإناث مصابون.
B) الإناث دون الذكور مصابات.
C) الاولاد كلهم مصابون.
D) الأولاد كلهم سليمين.",
1860,Mistral-7B-Instruct-v0.3,both_correct,1,1,A,A,A,"Estimating the percentage of phenotypic variation in a trait due to genetic differences indicates

A) Heritability
B) Experimental risk
C) Prevalence rate
D) Incidence rate","تدعى جزيئات الرنا الي يتم اصطناعها في النوية

A) mRNA
B) tRNA
C) rRNA
D) miRNA",
152,Mistral-7B-Instruct-v0.3,both_correct,1,1,C,C,C,"Anterior cruciate ligament: (2017 First)

A) Extends from the medial condyle of the femur
B) Inserts onto the tibial tuberosity
C) Prevents anterior displacement of the leg
D) Prevents anterior displacement of the femur","الرباط المتصالب الأمامي: (2017 أولى(

A) يمتد من اللقمة الأنسية للفخذ
B) يرتكز على الحدبة الظنبوبية
C) يمنع انزياح الساق للأمام
D) يمنع انزياح الفخذ للأمام",
4257,Mistral-7B-Instruct-v0.3,both_correct,1,1,C,C,C,"All of the following are components of the heart's vascular tissue except

A) Sinoatrial node.
B) Atrioventricular node.
C) Coronary node.
D) Bulge of His.","كل العبارات التالية صحيحة بالنسبة لليزر الشلال الكمومي ما عدا:

A) إن عملية إلكترون واحد يسبب إصدار العديد من الفوتونات لدى عبوره بنية QCLS تعطي اسم الشلال.
B) عملية الشلال تجعل المردود يزيد على الوحدة مما يؤدي إلى استطاعات خرج أعلى منها في حالة الليزرات الشائعة.
C) تغطي أطوال موجة الإصدار مجال الأطوال الموجية الذي يمتد من 250 نانومتر – 2.75 ميكرومتر ويصل إلى 355 ميكرومتر.
D) إن كلا من انخفاض خرج الاستطاعة الضوئية ومجال توليفه وتشغيلها في درجة حرارة الغرفة يجعلها معينة في تطبيقات المطيافية.",
1364,Mistral-7B-Instruct-v0.3,both_correct,1,1,D,D,D,"Genetically modified organisms (GMOs) include the following techniques

A) Gene knockout
B) Gene knockin
C) Combining gene knockout and gene knockin
D) All of the above","تساهم في المحافظة على ثباتية البنية الثالثية:

A) الروابط الهيدروجينية.
B) الروابط ثنائية الكبريت.
C) التفاعلات الكارهة للماء.
D) كل ما سبق صحيح.",
