id,model,quadrant,en_correct,ar_correct,ground_truth,prediction_english,prediction_arabic,input_english,input_arabic,Level
847,Falcon-H1-7B-Instruct,both_correct,1,1,C,C,C,"The following are present on the anterior surface of the petrous part of the temporal bone EXCEPT

A) The arcuate prominence.
B) The trigeminal impression.
C) The external opening of the vestibular aqueduct.
D) The foramen of the greater petrous nerve.","يتألف الزنار الكتفي مما يلي عدا :

A) الترقوة
B) لوح الكتف
C) القص
D) رأس العضد",
1671,Falcon-H1-7B-Instruct,both_correct,1,1,B,B,B,"Founder of the Law of Natural Selection

A) Woese
B) Darwin
C) Linnaeus
D) Dahl","وظيفة المعززات بالوحدة المنظمة

A) بدء انتساخ الجينات
B) تزيد معدل الانتساخ
C) تخفض معدل الانتساخ
D) توقف معدل الانتساخ",
1157,Falcon-H1-7B-Instruct,both_correct,1,1,B,B,B,"Which of the following arterial branches run through the grooves on the cerebral surface of the squamous part of the parietal bone?

A) Branches of the deep temporal artery.
B) Branches of the middle meningeal artery.
C) Branches of the superficial temporal artery.
D) Branches of the facial artery.",". العظم الرابع من عظام الصف الاول لرسغ اليد عند ترتيبها من الوحشي الى الانسي هو العظم

A) Scaphoid
B) Lunate
C) Trapezoid
D) Pisiform",
2846,Falcon-H1-7B-Instruct,both_correct,1,1,D,D,D,"The spectrum of erythematous effects

A) Redness of the skin due to radiation.
B) The change in the effect of light on the cornea and skin of humans as a function of wavelength.
C) The rate of physiological activity as a function of the wavelength of light.
D) All of the above are true.","NMR هو أداء فعالة في :

A) مجالات الفيزياء والكيمياء الحيوية :
B) التصوير الطبي والتحليل
C) البحث العلمي
D) كل ما سبق صحيح",
2639,Falcon-H1-7B-Instruct,both_correct,1,1,D,D,D,"The nucleon number in the nucleus of an atom represents the number of

A) Neutrons
B) Protons
C) Electrons
D) Total number of protons and neutrons","تتصل مجموعة الكربونية في .........بذرتي كربون اخرتين

A) الالدهيد
B) الكيتون
C) الغول
D) ليس ايا مما سبق",
2527,Falcon-H1-7B-Instruct,both_correct,1,1,C,C,C,"In the case of elastic scattering, where the particle sizes are smaller than the wavelength of the incident radiation, it is called

A) Brilon scattering
B) Mei scattering
C) Rayleigh scattering
D) All of the above","إن النسج يكون : (الخطأ)

A) امتصاصها أعظم ما يمكن عند الطول الموجي 9.6μm .
B) وشفافيتها أكبر ما يمكن عند الطول الموجي m1μ.
C) وانعكاسها في المجال المرئي .
D) ويمكن معالجتها فيزيائياً بالأشعة فوق البنفسجية .",
1914,Falcon-H1-7B-Instruct,both_correct,1,1,C,C,C,"The Philadelphia chromosome is

A) An autosomal chromosomal abnormality.
B) An inversion of a portion of chromosome 9.
C) A translocation of a segment of chromosome 9 to chromosome 22.
D) A duplication of a region of chromosome 22.","الطور S من الدورة الخلوية :

A) هو أول مرحلة في الطور البيني.
B) هو طور التضاعف دنا الصبغيات.
C) يتشكل فيه مغزل الإنقسام.
D) يتضاعف فيه الجسيم المركزى.",
1605,Falcon-H1-7B-Instruct,both_correct,1,1,D,D,D,"The enzyme α-ketoglutarate dehydrogenase

A) is inhibited by NADH
B) is inhibited by ATP
C) is activated by calcium ions
D) All of the above are correct","في الورم الأرومي الشبكي الموروث: الخطأ

A) يحوي المصاب طفرتان في RB1 gene.
B) واحدة موروثة.
C) والثانية حصلت خلال الطفولة.
D) في كريات بيضاء المصاب يكون اليلا الجين بحالة متماثلة.
E) في شبكية عينه يكون الجين متماثل الدلائل.",
4693,Falcon-H1-7B-Instruct,both_correct,1,1,A,A,A,"We toss a coin until it lands on heads H for the first time. The random variable that represents the number of tosses is

A) Discrete (value of natural numbers)
B) Continuous (value of natural numbers)
C) Discrete (value of real numbers)
D) Continuous (value of real numbers)","ان معدل اطوال الأبناء تنحدر من معامل المجتمع فتسمى الظاهرة:

A) الانحدار نحو المعدل
B) ارتباط
C) تحديد
D) كل ما سبق صحيح",
1509,Falcon-H1-7B-Instruct,both_correct,1,1,A,A,A,"Urine pH decreases in all cases except

A) Improper sample preservation
B) Protein intake
C) Metabolic acidosis
D) Respiratory acidosis","ما يلي حول عوز إنزيم Hydroxylase – 218 صحيح ما عدا:

A) هو الشكل الأشيع المتلازمة الكفرية التناسلية.
B) يحدث فيه نقص في انتاج التستوستيرون.
C) يحدث فيه نقص في انتاج الكورتيزول.
D) يعتبر إذا لم يعالج) حالة مهددة للحياة",
561,Falcon-H1-7B-Instruct,both_correct,1,1,C,C,C,"The cells adjacent to the follicles in the thyroid produce

A) T3
B) T4
C) Calcitonin
D) Parathyroid hormone","ينشأ الكعب الانسي من:

A) الحرقفة
B) الحرقفة والاسك
C) الحرقفة والاسك والعانة
D) لا شئ مما سبق",
3907,Falcon-H1-7B-Instruct,both_correct,1,1,C,C,C,"The body's control, regulation, and monitoring systems

A) Circulatory system
B) Respiratory system
C) Neuroendocrine system
D) Digestive system","تتصف ألية التلقيم الراجع السلبي بما يلي ما عدا:

A) تعمل بها معظم أجهزة التحكم المعنية باستتباب بيئة الجسم الداخلية
B) تحافظ على حالة الاستتباب
C) تعمل على تعزيز المتغير البدئي
D) تشارك بشكل واسع في تنظيم عدد كبير من المتغيرات البيولوجية مثل تنظيم سكر الدم",
1210,Falcon-H1-7B-Instruct,both_correct,1,1,C,C,C,"The optimal drug to initiate anesthesia for a patient with acute traumatic bleeding is

A) Propofol
B) Thiopental
C) Ketamine
D) Methohexital
E) Droperidol","ينقص كل من المحضرات التالية معدل الستقالب الدماغي والتوتر داخل القحف:

A) االيثوميدات
B) الكيتامين
C) الثيوبنتال
D) البروبوفول
E) دروبيريدول",
1182,Falcon-H1-7B-Instruct,both_correct,1,1,A,A,A,"We find the glomerular model of capillaries in all of the following except

A) Face
B) Finger pads
C) Nail bed
D) Ears","السائل المفرز حول الاهداب الشمية من غدد بومان الموجودة في الصفيحة المخصوصة للظهارة الشمية مسؤول عن :

A) ترطيب الهواء المستنشق.
B) السماح بوصول الروائح الجديدة
C) التقاط الاجسام الغريبة.
D) كل ما سبق صحيح.",
1539,Falcon-H1-7B-Instruct,both_correct,1,1,D,D,D,"X-linked dominant diseases: (Incorrect)

A) Rare
B) More common in females
C) Including Reith's syndrome
D) Not transmitted from an affected male","الهيموغلوبين الجنيني F:

A) يتألف من سلسلتين ألفا وسلسلتين عاما.
B) يبدأ اصطناعة منذ الأسابيع الأولى بعد الولادة.
C) يعتبر الخضاب الأساسي عند البالغ.
D) كل ما سبق خطأ.",
2498,Falcon-H1-7B-Instruct,both_correct,1,1,C,C,C,"When the reaction A + B = C is in equilibrium, the pressures of both A and C are (2.5 × 10⁻¹⁰ Pa) and B = 0.1 M. Therefore, the equilibrium constant is

A) 10⁻¹⁰ Pa
B) 2.5 × 10⁻¹⁰ Pa
C) 1
D) 2.5 × 10⁻¹⁰ Pa","ترتبط عتبة الألم لدى الإنسان في حالة الموجة الصوتية ب: (الخطأ)

A) نوع المنبع .
B) الضغط الصوتي .
C) بسعة انتقال الجزيئات المهتزة .
D) شدة الموجة الصوتية .",
2586,Falcon-H1-7B-Instruct,both_correct,1,1,B,B,B,"Gauge pressure is defined as

A) The recorded pressure of a gas confined in a closed container.
B) The difference between the absolute pressure of the gas and atmospheric pressure.
C) The sum of the absolute pressure of the gas and atmospheric pressure.
D) All of the above are incorrect.","لزوجة السائل بازدياد درجة الحرارة :

A) تزداد.
B) تنخفض .
C) تبقى ثابتة .
D) الكل صح .",
4450,Falcon-H1-7B-Instruct,both_correct,1,1,B,B,B,"The plateau phase in cardiac muscle fiber action potential is due to the opening of the channels for

A) sodium
B) calcium
C) potassium
D) chloride","تزداد قوة القلب التقلصية بازدياد كل مما يلي ما عدا:

A) التنبيه الودي.
B) طول الألياف قبل تقلصها.
C) الديجتال والأدرينالين.
D) زيادة شدة المنبه.",
610,Falcon-H1-7B-Instruct,both_correct,1,1,D,D,D,"Opening of the pharyngeal tube is caused by the simultaneous contraction of the following muscles

A) levator palatine
B) depressor palatine
C) tensor palatine
D) A+C","الوجه Palmer يعتبر وجها

A) اخمصيا
B) ظهريا
C) راحيا
D) كل ماسبق خاطئ",
1162,Falcon-H1-7B-Instruct,both_correct,1,1,B,B,B,"The upper urinary tract consists of three layers. Choose the incorrect answer

A) The outermost layer
B) Followed by the subserosal layer
C) Then the muscular layer
D) Then the mucous layer","الشرايين التي تسير بين الفصوص بإتجاه القشرة على كل جانب من جانبي الهرم الكلوي :

A) الشرايين الفصية
B) الشرايين بين الفصوص
C) الشرايين المقوسة
D) الشرايين بين الفصيصات",
4784,Falcon-H1-7B-Instruct,both_correct,1,1,B,B,B,"Given that x is a random variable representing the number of sisters of a student, its set of values is

A) Real positive
B) Integer positive
C) Integer
D) Natural","إن منحنى الكثافة الاحتمالية للتوزيع الطبيعي متناظر بالنسبة للمستقيم:

A) x = 0
B) x = µ
C) 𝜎x =
D) غير ذلك",
2365,Falcon-H1-7B-Instruct,both_correct,1,1,D,D,D,"The collective movement of charges leads to

A) Intense absorption of microwave radiation
B) Tissue changes and burns
C) Further accelerated charge separations leading to the generation of new electromagnetic radiation
D) A,C","يشير المسقط وفق خط الاشعة السينية:

A) شدة الحزمة عند المنبع المطروح منها شدة الحزمة النافذة.
B) الامتصاص الكلي وفق خط الحزمة .
C) الاستثار الكلى .
D) A,B .",
934,Falcon-H1-7B-Instruct,both_correct,1,1,C,C,C,"The ulnar nerve

A) is located in the posterior compartment of the humerus
B) is located anterior to the brachial artery
C) passes behind the medial epicondyle of the humerus
D) is located medial to the flexor ulnar tendon","يفصل بين المنخرين :

A) NASAL CAVITY
B) العظم الغربالي
C) NASAL SEPTUM
D) كل ما سبق خطأ",
3891,Falcon-H1-7B-Instruct,both_correct,1,1,A,A,A,"High stomach acid contributes to all of the following except

A) Conversion of trypsinogen to trypsin
B) Stimulation of the duodenum to secrete secretin
C) Killing of pathogens
D) Aiding in the absorption of iron and calcium","تؤدي خلايا سيرتولي في الخصية دواراً مهماً في:

A) إنتاج التستستيرون
B) تغذية النطاف
C) تثبيط الحاثةFSH
D) تحرض نمو وتطور الأعضاء التناسلية الظاهرة",
2502,Falcon-H1-7B-Instruct,both_correct,1,1,B,B,B,"The quantum numbers m1, I, n result from

A) Maxwell's equation
B) Schrödinger's equation
C) A, B
D) All of the above are incorrect","يمكن تعريف معامل تخامد الأمواج الصوتية في النسج بـ : (الخطأ)

A) dB)α
B) 4.343μ
C) loge× 10× μ
D) loge× 10×",
4115,Falcon-H1-7B-Instruct,both_correct,1,1,B,B,B,"Stem cells

A) Mature cells.
B) Can differentiate into all types of body cells.
C) Possess only self-renewal capacity.
D) Pluripotent cells.","الامتصاص الثنائي الفوتون هو عملية من المرتبة:

A) الثانية – منخفضة
B) الثالثة – منخفضة
C) الثالثة – مرتفعة
D) الثانية – مرتفعة",
555,Falcon-H1-7B-Instruct,both_correct,1,1,C,C,C,"Characteristics of lamellar bodies

A) They are a marker for type I respiratory cells.
B) They are granules with a diameter of 100–400 μm, surrounded by a membrane.
C) They are a marker for type II respiratory cells.
D) A+C","يؤدي تفعيل الجملة نظيرة الودية لما يلي عدا:

A) انتصاب
B) ارتخاء مصرات
C) قذف
D) زيادة مفرزات",
2854,Falcon-H1-7B-Instruct,both_correct,1,1,B,B,B,"If a pressure drop p∆ maintains a certain flow rate in a pipe of length L, then a similar pipe of length 2L needs to

A) twice the pressure rise
B) twice the pressure drop
C) a pressure drop according to the fourth power
D) all of the above are true","تهتز الذرتان في الجزيء ثنائي الذرة حول

A) الكتل الأولى
B) مركز كتلتيهما
C) الكتلة الثانية
D) الكتلة الأنقل",
1041,Falcon-H1-7B-Instruct,both_correct,1,1,C,C,C,"Which of the following are characteristics of the adult bladder EXCEPT

A) It is located behind the pubic bones
B) Its maximum capacity is 500 ml
C) The bladder is pyramid-shaped when full
D) It is an extraperitoneal organ","عدد العضلات بين العظمية الأخمصية:

A) 3
B) 4
C) 5
D) 6",
2089,Falcon-H1-7B-Instruct,both_correct,1,1,D,D,D,"Vesicles coated with COP2 proteins are responsible for

A) Transporting secretory materials from the cell membrane into the cytoplasm.
B) Direct transport of secretory materials beyond the cell.
C) Progressive and retrograde transport of materials between Golgi vesicles.
D) Progressive transport of materials between the endoplasmic reticulum and the Golgi apparatus inlet.","طرق انتقال المسار التمايزي للخلايا البنات

A) العروة إيجابية التلقيم الراجع
B) تكاثف الكروماتين
C) تمثيل الدنا
D) ما سبق صحيح",
902,Falcon-H1-7B-Instruct,both_correct,1,1,D,D,D,"In the lungs

A) Terminal bronchioles are located in the pulmonary lobules
B) The apex of the pulmonary lobules is directed peripherally
C) Mucosa-related lymphoid tissue increases as we move down the bronchial tree
D) A+C
E) All of the above are true","من العضلات الخلفية للساق عدا:

A) التوأمية الساقية
B) باسطة الأصابع الطويلة
C) الظنبوبية الخلفية
D) النعلية",
